Year,State,Votes
2000,Alabama,9
2004,Alabama,9
2008,Alabama,9
2012,Alabama,9
2016,Alabama,9
2020,Alabama,9
2000,Alaska,3
2004,Alaska,3
2008,Alaska,3
2012,Alaska,3
2016,Alaska,3
2020,Alaska,3
2000,Arizona,8
2004,Arizona,10
2008,Arizona,10
2012,Arizona,11
2016,Arizona,11
2020,Arizona,11
2000,Arkansas,6
2004,Arkansas,6
2008,Arkansas,6
2012,Arkansas,6
2016,Arkansas,6
2020,Arkansas,6
2000,California,54
2004,California,55
2008,California,55
2012,California,55
2016,California,55
2020,California,55
2000,Colorado,8
2004,Colorado,9
2008,Colorado,9
2012,Colorado,9
2016,Colorado,9
2020,Colorado,9
2000,Connecticut,8
2004,Connecticut,7
2008,Connecticut,7
2012,Connecticut,7
2016,Connecticut,7
2020,Connecticut,7
2000,D.C.,3
2004,D.C.,3
2008,D.C.,3
2012,D.C.,3
2016,D.C.,3
2020,D.C.,3
2000,Delaware,3
2004,Delaware,3
2008,Delaware,3
2012,Delaware,3
2016,Delaware,3
2020,Delaware,3
2000,Florida,25
2004,Florida,27
2008,Florida,27
2012,Florida,29
2016,Florida,29
2020,Florida,29
2000,Georgia,13
2004,Georgia,15
2008,Georgia,15
2012,Georgia,16
2016,Georgia,16
2020,Georgia,16
2000,Hawaii,4
2004,Hawaii,4
2008,Hawaii,4
2012,Hawaii,4
2016,Hawaii,4
2020,Hawaii,4
2000,Idaho,4
2004,Idaho,4
2008,Idaho,4
2012,Idaho,4
2016,Idaho,4
2020,Idaho,4
2000,Illinois,22
2004,Illinois,21
2008,Illinois,21
2012,Illinois,20
2016,Illinois,20
2020,Illinois,20
2000,Indiana,12
2004,Indiana,11
2008,Indiana,11
2012,Indiana,11
2016,Indiana,11
2020,Indiana,11
2000,Iowa,7
2004,Iowa,7
2008,Iowa,7
2012,Iowa,6
2016,Iowa,6
2020,Iowa,6
2000,Kansas,6
2004,Kansas,6
2008,Kansas,6
2012,Kansas,6
2016,Kansas,6
2020,Kansas,6
2000,Kentucky,8
2004,Kentucky,8
2008,Kentucky,8
2012,Kentucky,8
2016,Kentucky,8
2020,Kentucky,8
2000,Louisiana,9
2004,Louisiana,9
2008,Louisiana,9
2012,Louisiana,8
2016,Louisiana,8
2020,Louisiana,8
2000,Maine,4
2004,Maine,4
2008,Maine,4
2012,Maine,4
2016,Maine,4
2020,Maine,4
2000,Maryland,10
2004,Maryland,10
2008,Maryland,10
2012,Maryland,10
2016,Maryland,10
2020,Maryland,10
2000,Massachusetts,12
2004,Massachusetts,12
2008,Massachusetts,12
2012,Massachusetts,11
2016,Massachusetts,11
2020,Massachusetts,11
2000,Michigan,18
2004,Michigan,17
2008,Michigan,17
2012,Michigan,16
2016,Michigan,16
2020,Michigan,16
2000,Minnesota,10
2004,Minnesota,10
2008,Minnesota,10
2012,Minnesota,10
2016,Minnesota,10
2020,Minnesota,10
2000,Mississippi,7
2004,Mississippi,6
2008,Mississippi,6
2012,Mississippi,6
2016,Mississippi,6
2020,Mississippi,6
2000,Missouri,11
2004,Missouri,11
2008,Missouri,11
2012,Missouri,10
2016,Missouri,10
2020,Missouri,10
2000,Montana,3
2004,Montana,3
2008,Montana,3
2012,Montana,3
2016,Montana,3
2020,Montana,3
2000,Nebraska,5
2004,Nebraska,5
2008,Nebraska,5
2012,Nebraska,5
2016,Nebraska,5
2020,Nebraska,5
2000,Nevada,4
2004,Nevada,5
2008,Nevada,5
2012,Nevada,6
2016,Nevada,6
2020,Nevada,6
2000,New Hampshire,4
2004,New Hampshire,4
2008,New Hampshire,4
2012,New Hampshire,4
2016,New Hampshire,4
2020,New Hampshire,4
2000,New Jersey,15
2004,New Jersey,15
2008,New Jersey,15
2012,New Jersey,14
2016,New Jersey,14
2020,New Jersey,14
2000,New Mexico,5
2004,New Mexico,5
2008,New Mexico,5
2012,New Mexico,5
2016,New Mexico,5
2020,New Mexico,5
2000,New York,33
2004,New York,31
2008,New York,31
2012,New York,29
2016,New York,29
2020,New York,29
2000,North Carolina,14
2004,North Carolina,15
2008,North Carolina,15
2012,North Carolina,15
2016,North Carolina,15
2020,North Carolina,15
1788,North Dakota,
1792,North Dakota,
1796,North Dakota,
1800,North Dakota,
1804,North Dakota,
1808,North Dakota,
1812,North Dakota,
1816,North Dakota,
1820,North Dakota,
1824,North Dakota,
