year,county_fips,state,county_name,Dcandidatevotes,Rcandidatevotes,totalvotes,RATE,,
2000,10001,DELAWARE,KENT,22790,24081,48247,-0.055101305,,
2000,10003,DELAWARE,NEW CASTLE,127539,78587,212995,0.484215909,,
2000,10005,DELAWARE,SUSSEX,29739,34620,66287,-0.151972234,,
2000,11001,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,171923,18073,201894,2.25262759,,
2000,12001,FLORIDA,ALACHUA,47365,34124,85729,0.32788261,,
2000,12003,FLORIDA,BAKER,2392,5610,8154,-0.852420883,,
2000,12005,FLORIDA,BAY,18850,38637,58805,-0.717697453,,
2000,12007,FLORIDA,BRADFORD,3075,5414,8673,-0.56568329,,
2000,12009,FLORIDA,BREVARD,97318,115185,218395,-0.168555565,,
2000,12011,FLORIDA,BROWARD,387703,177902,575143,0.779006746,,
2000,12013,FLORIDA,CALHOUN,2155,2873,5174,-0.287566056,,
2000,12015,FLORIDA,CHARLOTTE,29645,35426,66896,-0.178152537,,
2000,12017,FLORIDA,CITRUS,25525,29767,57206,-0.153742033,,4
2000,12019,FLORIDA,CLAY,14632,41736,57353,-1.048153155,,
2000,12021,FLORIDA,COLLIER,29921,60450,92162,-0.703256002,,
2000,12023,FLORIDA,COLUMBIA,7047,10964,18508,-0.442015184,,
2000,12027,FLORIDA,DESOTO,3320,4256,7817,-0.248364969,,
2000,12029,FLORIDA,DIXIE,1826,2697,4666,-0.390012262,,
2000,12031,FLORIDA,DUVAL,107864,152098,264636,-0.343653876,,
2000,12033,FLORIDA,ESCAMBIA,40943,73017,116648,-0.578511435,,
2000,12035,FLORIDA,FLAGLER,13897,12613,27111,0.096944961,,
2000,12037,FLORIDA,FRANKLIN,2046,2454,4644,-0.181832679,,
2000,12039,FLORIDA,GADSDEN,9735,4767,14727,0.714010463,,
2000,12041,FLORIDA,GILCHRIST,1910,3300,5395,-0.546819226,,
2000,12043,FLORIDA,GLADES,1442,1841,3365,-0.244277863,,
2000,12045,FLORIDA,GULF,2397,3550,6144,-0.392729648,,
2000,12047,FLORIDA,HAMILTON,1722,2146,3964,-0.220119238,,
2000,12049,FLORIDA,HARDEE,2339,3765,6233,-0.476024374,,
2000,12051,FLORIDA,HENDRY,3240,4747,8139,-0.38193951,,
2000,12053,FLORIDA,HERNANDO,32644,30646,65219,0.063158923,,
