State,year,winner_name,winner_party,total_votes,winner_votes,winner_percent,party_lean,PVI,key,Abbreviation,PVI_rank
Idaho,1912,"Wilson, Woodrow                   ",Democratic,105754,33921,0.320753825,Whig/Other,0.033754653,Whig/Other 0-4%,ID,10
North Dakota,1912,"Wilson, Woodrow                   ",Democratic,86580,29555,0.341360591,Whig/Other,0.069722016,Whig/Other 4-9%,ND,20
Oregon,1912,"Wilson, Woodrow                   ",Democratic,137040,47064,0.343432574,Whig/Other,0.048462644,Whig/Other 4-9%,OR,13
Montana,1912,"Wilson, Woodrow                   ",Democratic,79826,27941,0.350023802,Whig/Other,0.049936247,Whig/Other 4-9%,MT,14
Washington,1912,"Roosevelt, Theodore ""Teddy""     ","Progressive ""Bull Moose""   ",322799,113698,0.352225379,Whig/Other,0.171319033,Whig/Other 9% or more,WA,37
Illinois,1912,"Wilson, Woodrow                   ",Democratic,1146173,405048,0.353391678,Whig/Other,0.092623663,Whig/Other 9% or more,IL,26
Massachusetts,1912,"Wilson, Woodrow                   ",Democratic,488057,173408,0.355302762,Whig/Other,0.054961831,Whig/Other 4-9%,MA,16
Wyoming,1912,"Wilson, Woodrow                   ",Democratic,42296,15310,0.361972763,Democratic,0.01947437,Democratic 0-4%,WY,7
Pennsylvania,1912,"Roosevelt, Theodore ""Teddy""     ","Progressive ""Bull Moose""   ",1217736,444894,0.365345198,Whig/Other,0.133655289,Whig/Other 9% or more,PA,33
Vermont,1912,"Taft, William                     ",Republican,62842,23332,0.371280354,Whig/Other,0.194761254,Whig/Other 9% or more,VT,40
Utah,1912,"Taft, William                     ",Republican,112386,42100,0.374601819,Whig/Other,0.002260445,Whig/Other 0-4%,UT,1
Iowa,1912,"Wilson, Woodrow                   ",Democratic,492356,185325,0.376404472,Whig/Other,0.070497901,Whig/Other 4-9%,IA,21
Minnesota,1912,"Roosevelt, Theodore ""Teddy""     ","Progressive ""Bull Moose""   ",334219,125856,0.37656746,Whig/Other,0.146178331,Whig/Other 9% or more,MN,34
Michigan,1912,"Roosevelt, Theodore ""Teddy""     ","Progressive ""Bull Moose""   ",550976,214584,0.38946161,Whig/Other,0.191716453,Whig/Other 9% or more,MI,39
Rhode Island,1912,"Wilson, Woodrow                   ",Democratic,77894,30412,0.390428018,Democratic,0.038741623,Democratic 0-4%,RI,11
Connecticut,1912,"Wilson, Woodrow                   ",Democratic,190404,74561,0.391593664,Democratic,0.081642703,Democratic 4-9%,CT,24
Kansas,1912,"Wilson, Woodrow                   ",Democratic,365560,143663,0.39299431,Whig/Other,0.05991423,Whig/Other 4-9%,KS,19
Maine,1912,"Wilson, Woodrow                   ",Democratic,129640,51113,0.394268744,Whig/Other,0.091212654,Whig/Other 9% or more,ME,25
New Hampshire,1912,"Wilson, Woodrow                   ",Democratic,87961,34724,0.394765862,Democratic,0.056828664,Democratic 4-9%,NH,18
Nevada,1912,"Wilson, Woodrow                   ",Democratic,20115,7986,0.397017151,Whig/Other,0.017407233,Whig/Other 0-4%,NV,6
Ohio,1912,"Wilson, Woodrow                   ",Democratic,1037094,424834,0.409638856,Democratic,0.044603046,Democratic 4-9%,OH,12
Wisconsin,1912,"Wilson, Woodrow                   ",Democratic,399975,164230,0.410600663,Democratic,0.120153724,Democratic 9% or more,WI,31
New Jersey,1912,"Wilson, Woodrow                   ",Democratic,432739,178289,0.412001229,Whig/Other,0.05356779,Whig/Other 4-9%,NJ,15
New York,1912,"Wilson, Woodrow                   ",Democratic,1588315,655573,0.412747471,Democratic,0.022588851,Democratic 0-4%,NY,8
New Mexico,1912,"Wilson, Woodrow                   ",Democratic,49376,20437,0.413905541,Democratic,0.105658338,Democratic 9% or more,NM,28
California,1912,"Roosevelt, Theodore ""Teddy""     ","Progressive ""Bull Moose""   ",677944,283610,0.418338388,Whig/Other,0.104507595,Whig/Other 9% or more,CA,27
West Virginia,1912,"Wilson, Woodrow                   ",Democratic,268828,113197,0.42107593,Whig/Other,0.015733771,Whig/Other 0-4%,WV,5
Colorado,1912,"Wilson, Woodrow                   ",Democratic,266880,114232,0.428027578,Democratic,0.008025079,Democratic 0-4%,CO,4
Indiana,1912,"Wilson, Woodrow                   ",Democratic,654474,281890,0.430712297,Democratic,0.030680535,Democratic 0-4%,IN,9
Arizona,1912,"Wilson, Woodrow                   ",Democratic,23722,10324,0.435207824,Whig/Other,0.006658343,Whig/Other 0-4%,AZ,3
Nebraska,1912,"Wilson, Woodrow                   ",Democratic,249483,109008,0.436935583,Whig/Other,0.00438389,Whig/Other 0-4%,NE,2
Delaware,1912,"Wilson, Woodrow                   ",Democratic,48694,22631,0.464759519,Democratic,0.113702753,Democratic 9% or more,DE,30
Oklahoma,1912,"Wilson, Woodrow                   ",Democratic,253801,119156,0.469485936,Democratic,0.395645831,Democratic 9% or more,OK,48
Missouri,1912,"Wilson, Woodrow                   ",Democratic,698566,330746,0.473464211,Democratic,0.122366857,Democratic 9% or more,MO,32
Kentucky,1912,"Wilson, Woodrow                   ",Democratic,452714,219484,0.48481823,Democratic,0.078864508,Democratic 4-9%,KY,23
Maryland,1912,"Wilson, Woodrow                   ",Democratic,231981,112674,0.485703571,Democratic,0.056633846,Democratic 4-9%,MD,17
South Dakota,1912,"Roosevelt, Theodore ""Teddy""     ","Progressive ""Bull Moose""   ",116325,58811,0.505574898,Whig/Other,0.150148717,Whig/Other 9% or more,SD,35
Tennessee,1912,"Wilson, Woodrow                   ",Democratic,251933,133021,0.528001492,Democratic,0.106752309,Democratic 9% or more,TN,29
Arkansas,1912,"Wilson, Woodrow                   ",Democratic,125104,68814,0.550054355,Democratic,0.156374567,Democratic 9% or more,AR,36
North Carolina,1912,"Wilson, Woodrow                   ",Democratic,243918,144507,0.592440902,Democratic,0.072059561,Democratic 4-9%,NC,22
Virginia,1912,"Wilson, Woodrow                   ",Democratic,136976,90332,0.659473192,Democratic,0.201397377,Democratic 9% or more,VA,41
Florida,1912,"Wilson, Woodrow                   ",Democratic,50837,35343,0.695221984,Democratic,0.281479708,Democratic 9% or more,FL,44
